項目,類別,資料集名稱,資料集描述,網址,格式
112,發電,台灣電力公司_煙道資料即時量測值,各火力廠排放煙道氣之不透光率、二氧化硫、氮氧化物、氧氣、排放流率、溫度。,http://data.gov.tw/node/44163,XML
111,售電,台灣電力公司_屏東縣再生能源可併網容量,提供屏東縣的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44209,CSV
110,售電,台灣電力公司_雲林縣再生能源可併網容量,提供雲林縣的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44208,CSV
109,售電,台灣電力公司_彰化縣再生能源可併網容量,提供彰化縣的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44207,CSV
108,售電,台灣電力公司_苗栗縣再生能源可併網容量,提供苗栗縣的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44206,CSV
107,售電,台灣電力公司_嘉義縣市再生能源可併網容量,提供嘉義縣市的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44204,CSV
106,售電,台灣電力公司_高雄市再生能源可併網容量,提供高雄市的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44203,CSV
105,售電,台灣電力公司_台南市再生能源可併網容量,提供台南市的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44202,CSV
104,售電,台灣電力公司_台中市再生能源可併網容量,提供台中市的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44196,CSV
103,售電,台灣電力公司_桃園市再生能源可併網容量,提供桃園市的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44195,CSV
102,售電,台灣電力公司_新北市再生能源可併網容量,提供新北市的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44194,CSV
101,售電,台灣電力公司_台北市再生能源可併網容量,提供台北市的饋線可併網容量、變壓器的TWD67 X、Y座標?及所屬饋線。,http://data.gov.tw/node/44193,CSV
100,發電,台灣電力公司_核設施輻射監測即資料,本資料為提供台電核一、二、三、龍門廠及蘭嶼貯存場環境輻射監測即時資料，可供大眾了解各核設施環境的情形。,http://data.gov.tw/node/42326,CSV
99,售電,台灣電力公司_各縣市年度住宅、服務業、機關及工業用電比例,住宅、服務業、機關、工業及其他等用電比例。,http://data.gov.tw/node/38959,CSV
98,發電,台灣電力公司_核能電廠事件通報,提供各台電公司核能電廠運轉事故有關之通報內容，供大眾了解電廠情形，避免不當疑慮。,http://data.gov.tw/node/37711,CSV
97,輸電,台灣電力公司_各機組過去發電量,本資料集提供台電公司各機組之過去每10分鐘淨發電量(瞬間值)。註：本資料集係擷取自電能管理系統(EMS)，可能會因系統維護、資料設定、傳輸等因素，而與實際數值有些許誤差，相關實際資料請以台電正式公布為準。,http://data.gov.tw/node/37331,JSON
96,輸電,台灣電力公司_各區域間過去電力潮流量,本資料集提供台電公司各區域(北、中、南、東)間之過去每10分鐘電力潮流量(瞬間值)。註：本資料集係擷取自電能管理系統(EMS)，可能會因系統維護、資料設定、傳輸等因素，而與實際數值有些許誤差，相關實際資料請以台電正式公布為準。,http://data.gov.tw/node/37326,JSON
95,其他,台灣電力公司_歷年發購電量(能源別)及售電量(用途別),提供台灣電力公司歷年發購電量及售電量相關資料,http://data.gov.tw/node/35392,CSV
94,輸電,台灣電力公司_未來兩年機組大修停機排程,提供今、明兩年台電公司水力、火力、核能等機組大修停機排程,http://data.gov.tw/node/35393,CSV
93,發電,台灣電力公司_近十年各類型火力機組可用率,提供現有火力機組近十年可用率資料，提供大眾了解發電機組運轉狀況，並評估機組的效益,http://data.gov.tw/node/33662,CSV
92,發電,台灣電力公司_核一、二、三及龍門廠機組歷次大修紀錄相關資料,提供台灣電力公司_核一、二、三及龍門廠機組歷次大修紀錄相關資料,http://data.gov.tw/node/33583,CSV
91,發電,台灣電力公司_近十年水力機組大修紀錄,提供台灣電力公司近十年水力機組大修紀錄相關資料,http://data.gov.tw/node/33582,CSV
90,發電,台灣電力公司_近十年火力機組大修紀錄,提供台灣電力公司近十年火力機組大修紀錄相關資料,http://data.gov.tw/node/33581,CSV
89,售電,台灣電力公司_表燈用電不及底度用戶數,統計各鄉鎮市(以郵遞區別)表燈用戶每月用電量不及底度之用戶數,http://data.gov.tw/node/33463,TXT
88,輸電,台灣電力公司_未來一週電力供需預測,提供明日起未來一週之電力供需預測,http://data.gov.tw/node/33462,TXT
87,配電,台灣電力公司_電桿坐標及桿號,提供各區處電桿坐標、桿號及所屬行政區資訊,http://data.gov.tw/node/33305,CSV
86,售電,台灣電力公司_水力購電實績,提供本公司95年至今每月份之水力購電度數與金額,http://data.gov.tw/node/32988,CSV
85,售電,台灣電力公司_風力購電實績,提供台灣電力公司自95起至今每月風力購電實績,http://data.gov.tw/node/32987?,CSV
84,售電,台灣電力公司_太陽光電購電實績,提供本公司自95年至今每月份之太陽光電購電度數與金額,http://data.gov.tw/node/32986,CSV
83,售電,台灣電力公司_汽電共生購電實績,提供台電公司95年至今每月份之汽電共生購電度數與金額,http://data.gov.tw/node/32985,CSV
82,其他,台灣電力公司_溫室氣體排放係數,提供國家電力排放係數及台電公司排放係數比較表,http://data.gov.tw/node/30151,CSV
81,其他,台灣電力公司_火力發電溫室氣體排放量,提供台電公司所屬火力發電溫室氣體排放量分析表,http://data.gov.tw/node/29947,CSV
80,輸電,台灣電力公司_變電所電磁場資訊,本資料集為提供各行政地區變電所電磁場量測結果，可供大眾瞭解，俾利取得正確的資料,http://data.gov.tw/node/16877,CSV
79,其他,台灣電力公司_訓練所核能、水火力電廠員工及承包商技術檢定統計資料,台電訓練所林口核能訓練中心核能、水火力電廠員工及承包商之技術檢定統計資料,http://data.gov.tw/node/29956,CSV
78,其他,台灣電力公司_訓練所接受代訓統計資料,提供台電訓練所接受外界委託訓練情形之年度統計資料,http://data.gov.tw/node/29955,CSV
